,accuracy,dummy accuracy
468,0.625,0.65625
469,0.71875,0.65625
470,0.65625,0.65625
471,0.6875,0.75
472,0.5,0.5
473,0.5625,0.5625
474,0.5625,0.65625
475,0.5625,0.53125
476,0.59375,0.59375
477,0.65625,0.6875
478,0.625,0.625
479,0.625,0.65625
480,0.5625,0.53125
481,0.71875,0.6875
482,0.5625,0.53125
483,0.65625,0.65625
484,0.53125,0.53125
485,0.53125,0.59375
486,0.65625,0.625
487,0.5625,0.625
488,0.59375,0.5625
489,0.59375,0.65625
490,0.71875,0.75
491,0.6875,0.75
492,0.625,0.59375
493,0.65625,0.65625
494,0.5,0.46875
495,0.6875,0.65625
496,0.53125,0.625
497,0.65625,0.65625
498,0.6875,0.625
499,0.625,0.6875
500,0.625,0.6875
501,0.625,0.53125
502,0.65625,0.625
503,0.625,0.5625
504,0.78125,0.6875
505,0.625,0.53125
506,0.5625,0.53125
507,0.65625,0.59375
508,0.5625,0.65625
509,0.59375,0.5625
510,0.65625,0.6875
511,0.65625,0.625
512,0.5625,0.8125
513,0.65625,0.65625
514,0.65625,0.65625
515,0.59375,0.5625
516,0.65625,0.65625
517,0.59375,0.75
518,0.65625,0.6875
519,0.65625,0.75
520,0.59375,0.59375
521,0.53125,0.65625
522,0.625,0.65625
523,0.59375,0.59375
524,0.65625,0.59375
525,0.65625,0.625
526,0.625,0.625
527,0.5625,0.5
528,0.59375,0.625
529,0.65625,0.625
530,0.59375,0.6875
531,0.6875,0.625
532,0.625,0.625
533,0.6875,0.65625
534,0.6875,0.59375
535,0.53125,0.5625
536,0.5625,0.46875
537,0.5,0.53125
538,0.6875,0.71875
539,0.5,0.5625
540,0.75,0.71875
541,0.53125,0.6875
542,0.625,0.59375
543,0.59375,0.5625
544,0.71875,0.6875
545,0.65625,0.65625
546,0.5625,0.6875
547,0.625,0.65625
548,0.71875,0.78125
549,0.46875,0.53125
550,0.5625,0.59375
551,0.625,0.65625
552,0.6875,0.65625
553,0.53125,0.53125
554,0.625,0.65625
555,0.53125,0.5
556,0.5625,0.5625
557,0.6875,0.65625
558,0.46875,0.5625
559,0.5625,0.59375
560,0.6875,0.6875
561,0.53125,0.65625
562,0.5,0.625
563,0.65625,0.625
564,0.65625,0.6875
565,0.59375,0.5625
566,0.59375,0.5625
567,0.59375,0.59375
568,0.59375,0.5625
569,0.5625,0.53125
570,0.65625,0.625
571,0.6875,0.71875
572,0.5625,0.59375
573,0.59375,0.65625
574,0.59375,0.65625
575,0.5,0.46875
576,0.46875,0.46875
577,0.59375,0.59375
578,0.59375,0.59375
579,0.6875,0.625
580,0.6875,0.71875
581,0.59375,0.59375
582,0.59375,0.59375
583,0.625,0.625
584,0.625,0.5625
585,0.625,0.65625
586,0.59375,0.65625
587,0.5625,0.65625
588,0.625,0.625
589,0.59375,0.65625
590,0.6875,0.75
591,0.59375,0.6875
592,0.5625,0.6875
593,0.625,0.59375
594,0.5,0.65625
595,0.5,0.53125
596,0.625,0.625
597,0.5,0.53125
598,0.625,0.59375
599,0.625,0.75
600,0.65625,0.65625
601,0.46875,0.5625
602,0.5,0.78125
603,0.46875,0.46875
604,0.59375,0.5625
605,0.59375,0.53125
606,0.5,0.5
607,0.53125,0.53125
608,0.5625,0.625
609,0.625,0.625
610,0.5625,0.59375
611,0.4375,0.4375
612,0.71875,0.75
613,0.625,0.59375
614,0.65625,0.6875
615,0.625,0.6875
616,0.5625,0.53125
617,0.625,0.65625
618,0.65625,0.625
619,0.65625,0.625
620,0.5,0.65625
621,0.625,0.78125
622,0.5625,0.59375
623,0.59375,0.5625
